id,user_id,action_click recommended menu,action_click recommended menues,action_click_genetic_rec,action_enter,action_enter_store,action_like,action_search_cate,action_search_input,action_กรอกประวัติความหิว,action_สั่งอาหาร,action_เพิ่มเข้าตะกร้า,action_ใช้โค้ด,clusters
831,43,0,0,0,0,1,0,0,0,0,0,0,0,5
832,43,0,0,0,0,1,0,0,0,0,0,0,0,5
833,43,0,0,0,0,1,0,0,0,0,0,0,0,5
834,43,0,0,0,0,1,0,0,0,0,0,0,0,5
835,43,0,0,0,0,1,0,0,0,0,0,0,0,5
836,43,0,0,0,0,1,0,0,0,0,0,0,0,5
837,43,0,0,0,0,1,0,0,0,0,0,0,0,5
838,43,0,0,0,1,0,0,0,0,0,0,0,0,0
839,43,0,0,0,0,0,0,1,0,0,0,0,0,4
840,43,0,0,0,0,1,0,0,0,0,0,0,0,5
841,43,0,0,0,1,0,0,0,0,0,0,0,0,0
856,44,0,0,0,1,0,0,0,0,0,0,0,0,0
857,44,0,0,0,1,0,0,0,0,0,0,0,0,0
858,44,0,0,0,0,0,0,1,0,0,0,0,0,4
859,44,0,0,0,0,1,0,0,0,0,0,0,0,5
860,44,0,0,0,0,1,0,0,0,0,0,0,0,5
861,45,0,0,0,1,0,0,0,0,0,0,0,0,0
862,45,0,0,0,1,0,0,0,0,0,0,0,0,0
863,45,0,0,0,0,1,0,0,0,0,0,0,0,5
864,45,0,0,0,1,0,0,0,0,0,0,0,0,0
865,45,0,0,0,1,0,0,0,0,0,0,0,0,0
866,45,0,0,0,0,1,0,0,0,0,0,0,0,5
867,45,0,0,0,0,0,0,0,0,0,0,1,0,3
868,45,0,0,0,0,0,0,0,0,0,0,1,0,3
869,45,0,0,0,0,0,0,0,0,0,0,1,0,3
870,45,0,0,0,0,0,0,0,0,0,0,1,0,3
871,45,0,0,0,0,0,0,0,0,0,0,1,0,3
872,45,0,0,0,1,0,0,0,0,0,0,0,0,0
873,45,0,0,0,1,0,0,0,0,0,0,0,0,0
874,45,0,0,0,1,0,0,0,0,0,0,0,0,0
875,45,0,0,0,1,0,0,0,0,0,0,0,0,0
876,45,0,0,0,1,0,0,0,0,0,0,0,0,0
877,45,0,0,0,1,0,0,0,0,0,0,0,0,0
878,45,0,0,0,1,0,0,0,0,0,0,0,0,0
879,45,0,0,0,0,1,0,0,0,0,0,0,0,5
880,45,0,0,0,0,0,0,0,0,0,0,1,0,3
881,45,0,0,0,1,0,0,0,0,0,0,0,0,0
883,46,0,0,0,1,0,0,0,0,0,0,0,0,0
884,46,0,0,0,0,0,0,0,0,1,0,0,0,5
885,47,0,0,0,1,0,0,0,0,0,0,0,0,0
886,46,0,0,0,1,0,0,0,0,0,0,0,0,0
887,46,0,0,0,1,0,0,0,0,0,0,0,0,0
888,46,0,0,0,1,0,0,0,0,0,0,0,0,0
889,46,0,0,0,1,0,0,0,0,0,0,0,0,0
890,46,0,0,0,1,0,0,0,0,0,0,0,0,0
891,46,0,0,0,0,1,0,0,0,0,0,0,0,5
892,46,0,0,0,0,1,0,0,0,0,0,0,0,5
893,46,0,0,0,0,0,0,0,0,0,0,1,0,3
894,46,0,0,0,0,0,0,0,0,0,0,1,0,3
895,46,0,0,0,0,0,0,0,0,0,0,1,0,3
896,46,0,0,0,0,0,0,0,0,0,0,1,0,3
897,46,0,0,0,1,0,0,0,0,0,0,0,0,0
898,46,0,0,0,0,0,0,0,0,0,0,1,0,3
